ICBC
China Construction Bank
Agricultural Bank of China
JPMorgan Chase
Berkshire Hathaway
Exxon Mobil
General Electric
Wells Fargo
Bank of China
PetroChina
Royal Dutch Shell
Toyota Motor
Bank of America
HSBC Holdings
Apple
Citigroup
BP
Chevron
Volkswagen Group
Wal-Mart Stores
Gazprom
Samsung Electronics
AT&T
BNP Paribas
Verizon Communications
Allianz
China Mobile
Sinopec-China Petroleum
Petrobras
Daimler
Microsoft
AXA Group
Rosneft
IBM
Nestle
Mitsubishi UFJ Financial
Vodafone
Eni
Procter & Gamble
Johnson & Johnson
American International Group
Banco Santander
BHP Billiton
Pfizer
ItaÃº Unibanco Holding
Ford Motor
BMW Group
Commonwealth Bank
EDF
Statoil
Google
Siemens
Novartis
Royal Bank of Canada
Sumitomo Mitsui Financial
Comcast
Sberbank
Goldman Sachs Group
Westpac Banking Group
Nippon Telegraph & Tel
Ping An Insurance Group
Banco Bradesco
Anheuser-Busch InBev
Bank of Communications
China Life Insurance
General Motors
TelefÃ³nica
MetLife
Honda Motor
Enel
BASF
Softbank
National Australia Bank
ANZ
TD Bank Group
ConocoPhillips
Intel
UBS
Hewlett-Packard
Coca-Cola
Cisco Systems
LukOil
Boeing
Zurich Insurance Group
UnitedHealth Group
Hyundai Motor
Sanofi
Credit Agricole
United Technologies
Roche Holding
Munich Re
PepsiCo
Oracle
Bank of Nova Scotia
CVS Caremark
ING Group
Saudi Basic Industries
Merck & Co
Walt Disney
Mizuho Financial
China Merchants Bank
SociÃ©tÃ© GÃ©nÃ©rale
American Express
Banco do Brasil
Morgan Stanley
Prudential
CNOOC
Rio Tinto
Unilever
Nissan Motor
Credit Suisse Group
E.ON
Generali Group
AmÃ©rica MÃ³vil
GlaxoSmithKline
Schlumberger
BBVA-Banco Bilbao Vizcaya
Nordea Bank
Bayer
China Minsheng Banking
Caterpillar
Standard Chartered
China Shenhua Energy
US Bancorp
Mitsubishi Corp
Dow Chemical
Ecopetrol
Industrial Bank
Shanghai Pudong Development
EADS
Swiss Re
Iberdrola
China Citic Bank
Reliance Industries
Hutchison Whampoa
Home Depot
Hitachi
Hon Hai Precision
Phillips 66
Capital One Financial
MÃ¸ller-Maersk
Aviva
France Telecom
Deutsche Telekom
Bank of Montreal
VINCI
MondelÄ“z International
Suncor Energy
China Telecom
Occidental Petroleum
Twenty-First Century Fox Inc.
Mitsui & Co
Qualcomm
State Bank of India
Time Warner
Philip Morris International
Honeywell International
Express Scripts
United Parcel Service
Barclays
PNC Financial Services
Deutsche Post
AIA Group
Duke Energy
Delta Air Lines
Deutsche Bank
National Grid
ABB
Amgen
EI du Pont de Nemours
L'OrÃ©al Group
Manulife Financial
British American Tobacco
SAIC Motor
Oil & Natural Gas
Walgreen
KDDI
Valero Energy
PTT PCL
Travelers Cos
Canadian Imperial Bank
AstraZeneca
Deere & Co
Union Pacific
McDonald's
WellPoint
Aflac
Tokio Marine Holdings
Taiwan Semiconductor
Legal & General Group
Christian Dior
China Unicom
3M
Allstate
Schneider Electric
DNB
Lockheed Martin
Surgutneftegas
Target
ACE
Denso
Nomura Holdings
Nippon Steel & Sumitomo Metal
Wesfarmers
China Everbright Bank
SAP
Jardine Matheson
Japan Tobacco
BG Group
Itochu
Carrefour
SABMiller
Bank of New York Mellon
Continental
EMC
Costco Wholesale
BT Group
Eli Lilly & Co
Seven & I Holdings
Canon
Lowe's Cos
China State Construction
Freeport-McMoRan Copper
Telstra
LyondellBasell Industries
China Pacific Insurance
Diageo
Abbott Laboratories
Gas Natural Fenosa
Danske Bank
Aetna
Sony
Aegon
Ericsson
Posco
East Japan Railway
Brookfield Asset Management
Altria Group
BlackRock
Exelon
Danone
Archer Daniels Midland
McKesson
Heineken Holding
Panasonic
Hess
People's Insurance Company
Shinhan Financial Group
eBay
Natixis
Time Warner Cable
General Dynamics
AbbVie
Medtronic
EXOR
Bristol-Myers Squibb
KIA Motors
SEB
KBC Group
FedEx
Renault
VTB Bank
Sumitomo Corp
CNP Assurances
MS&AD Insurance
Hyundai Mobis
Halliburton
Danaher
Apache
Sun Life Financial
Marathon Petroleum
Southern Co
Ping An Bank
Linde
NextEra Energy
Saint-Gobain
Canadian Natural Resources
Transneft
Visa
Rolls-Royce Holdings
JX Holdings
Imperial Tobacco Group
Woolworths
Bridgestone
Cigna
Standard Bank Group
